ip,timestamp,method,url,status,size,query_params
74.240.191.221,25/Jun/2024:00:06:22 +0000,DELETE,/index.html?product_id=585&user_id=218,200,1974,"{""product_id"": ""585"", ""user_id"": ""218""}"
15.89.35.67,24/Jun/2024:04:43:22 +0000,PUT,/index.html?session_id=def456&session_id=mno345&user_id=709,301,4349,"{""session_id"": ""mno345"", ""user_id"": ""709""}"
158.20.204.46,21/Jun/2024:14:54:22 +0000,GET,/contact.html?session_id=def456,200,4060,"{""session_id"": ""def456""}"
238.189.173.32,21/Jun/2024:21:33:22 +0000,GET,/signup?session_id=abc123&session_id=ghi789,500,2661,"{""session_id"": ""ghi789""}"
190.111.164.7,26/Jun/2024:09:03:22 +0000,GET,/products.html?session_id=mno345&user_id=483,302,629,"{""session_id"": ""mno345"", ""user_id"": ""483""}"
196.224.137.79,22/Jun/2024:09:44:22 +0000,POST,/login?session_id=ghi789,200,2661,"{""session_id"": ""ghi789""}"
248.187.87.40,21/Jun/2024:16:46:22 +0000,DELETE,/signup?session_id=ghi789,200,734,"{""session_id"": ""ghi789""}"
158.20.204.46,24/Jun/2024:06:15:22 +0000,DELETE,/products.html?session_id=mno345&product_id=16,302,3432,"{""session_id"": ""mno345"", ""product_id"": ""16""}"
46.189.5.214,20/Jun/2024:12:51:22 +0000,PUT,/signup?category=electronics&category=home&user_id=727,302,2831,"{""category"": ""home"", ""user_id"": ""727""}"
15.189.100.115,26/Jun/2024:14:46:22 +0000,PUT,/index.html?product_id=322&session_id=jkl012&session_id=def456,301,2831,"{""product_id"": ""322"", ""session_id"": ""def456""}"
160.229.223.17,20/Jun/2024:19:01:22 +0000,POST,/signup?session_id=def456,200,1635,"{""session_id"": ""def456""}"
147.77.212.177,23/Jun/2024:14:28:22 +0000,GET,/index.html?product_id=50&session_id=mno345&session_id=jkl012,200,3981,"{""product_id"": ""50"", ""session_id"": ""jkl012""}"
62.82.168.113,25/Jun/2024:04:05:22 +0000,GET,/faq.html?user_id=963&user_id=701&category=fashion,301,2053,"{""user_id"": ""701"", ""category"": ""fashion""}"
149.43.222.103,21/Jun/2024:01:37:22 +0000,DELETE,/products.html?user_id=554&category=electronics&user_id=900,301,3508,"{""user_id"": ""900"", ""category"": ""electronics""}"
226.49.186.58,20/Jun/2024:23:08:22 +0000,PUT,/login?user_id=964&session_id=abc123,404,3254,"{""user_id"": ""964"", ""session_id"": ""abc123""}"
147.77.212.177,26/Jun/2024:03:36:22 +0000,GET,/contact.html?product_id=566&user_id=900,301,3508,"{""product_id"": ""566"", ""user_id"": ""900""}"
167.53.66.101,24/Jun/2024:05:05:22 +0000,GET,/login?session_id=ghi789&user_id=806&session_id=ghi789,200,3414,"{""session_id"": ""ghi789"", ""user_id"": ""806""}"
141.199.38.146,20/Jun/2024:15:07:22 +0000,POST,/faq.html?product_id=693,500,1974,"{""product_id"": ""693""}"
134.207.168.109,20/Jun/2024:12:18:22 +0000,PUT,/signup?category=home,200,1500,"{""category"": ""home""}"
55.192.232.116,23/Jun/2024:05:31:22 +0000,DELETE,/index.html?user_id=690&category=fashion,500,2287,"{""user_id"": ""690"", ""category"": ""fashion""}"
57.179.44.69,19/Jun/2024:23:09:22 +0000,GET,/products.html?session_id=ghi789&product_id=783&user_id=239,500,4292,"{""session_id"": ""ghi789"", ""product_id"": ""783"", ""user_id"": ""239""}"
86.144.221.240,25/Jun/2024:19:18:22 +0000,POST,/contact.html?category=toys&category=fashion&category=home,404,3854,"{""category"": ""home""}"
127.132.184.75,22/Jun/2024:21:17:22 +0000,DELETE,/login?user_id=465&product_id=648,302,404,"{""user_id"": ""465"", ""product_id"": ""648""}"
244.113.20.63,24/Jun/2024:02:50:22 +0000,GET,/services.html?category=home&user_id=706,404,4228,"{""category"": ""home"", ""user_id"": ""706""}"
240.57.228.32,23/Jun/2024:02:52:22 +0000,POST,/signup?category=home&user_id=793,200,2810,"{""category"": ""home"", ""user_id"": ""793""}"
190.111.164.7,23/Jun/2024:02:10:22 +0000,POST,/index.html?session_id=ghi789&product_id=711&user_id=368,301,322,"{""session_id"": ""ghi789"", ""product_id"": ""711"", ""user_id"": ""368""}"
127.132.184.75,24/Jun/2024:23:25:22 +0000,DELETE,/signup?product_id=972&user_id=314,301,2444,"{""product_id"": ""972"", ""user_id"": ""314""}"
153.6.128.136,21/Jun/2024:13:17:22 +0000,GET,/products.html?product_id=89,200,2287,"{""product_id"": ""89""}"
86.144.221.240,22/Jun/2024:01:28:22 +0000,POST,/faq.html?product_id=750&product_id=647&session_id=ghi789,404,2572,"{""product_id"": ""647"", ""session_id"": ""ghi789""}"
95.191.225.234,23/Jun/2024:10:38:22 +0000,DELETE,/about.html?category=fashion&user_id=809,302,3981,"{""category"": ""fashion"", ""user_id"": ""809""}"
196.224.137.79,25/Jun/2024:19:20:22 +0000,GET,/index.html?session_id=abc123,301,1974,"{""session_id"": ""abc123""}"
127.132.184.75,22/Jun/2024:12:22:22 +0000,POST,/index.html?product_id=822&category=toys&category=fashion,200,4732,"{""product_id"": ""822"", ""category"": ""fashion""}"
95.191.225.234,21/Jun/2024:01:31:22 +0000,PUT,/login?product_id=644,200,2810,"{""product_id"": ""644""}"
55.192.232.116,24/Jun/2024:03:42:22 +0000,GET,/about.html?category=books&session_id=jkl012,500,404,"{""category"": ""books"", ""session_id"": ""jkl012""}"
160.229.223.17,23/Jun/2024:03:07:22 +0000,POST,/services.html?product_id=645,301,2810,"{""product_id"": ""645""}"
158.20.204.46,23/Jun/2024:04:56:22 +0000,POST,/contact.html?user_id=1&category=toys,404,279,"{""user_id"": ""1"", ""category"": ""toys""}"
86.238.237.49,20/Jun/2024:19:11:22 +0000,POST,/login?user_id=786&session_id=abc123,302,3508,"{""user_id"": ""786"", ""session_id"": ""abc123""}"
158.20.204.46,24/Jun/2024:01:54:22 +0000,PUT,/index.html?product_id=576,301,3515,"{""product_id"": ""576""}"
226.49.186.58,20/Jun/2024:21:15:22 +0000,PUT,/login?category=books&category=fashion,404,4267,"{""category"": ""fashion""}"
248.187.87.40,22/Jun/2024:21:11:22 +0000,GET,/signup?product_id=605,404,404,"{""product_id"": ""605""}"
20.15.123.111,25/Jun/2024:22:16:22 +0000,DELETE,/contact.html?product_id=347,302,629,"{""product_id"": ""347""}"
35.239.32.150,24/Jun/2024:03:22:22 +0000,POST,/contact.html?category=books&category=home&product_id=651,200,734,"{""category"": ""home"", ""product_id"": ""651""}"
89.222.139.151,24/Jun/2024:23:23:22 +0000,DELETE,/services.html?session_id=mno345,500,1725,"{""session_id"": ""mno345""}"
86.238.237.49,20/Jun/2024:02:02:22 +0000,GET,/faq.html?session_id=mno345&category=home,200,847,"{""session_id"": ""mno345"", ""category"": ""home""}"
55.192.232.116,25/Jun/2024:02:12:22 +0000,GET,/signup?category=books&product_id=964&product_id=290,404,629,"{""category"": ""books"", ""product_id"": ""290""}"
190.111.164.7,21/Jun/2024:04:06:22 +0000,PUT,/services.html?user_id=296&session_id=mno345,302,2971,"{""user_id"": ""296"", ""session_id"": ""mno345""}"
86.238.237.49,25/Jun/2024:20:22:22 +0000,POST,/services.html?user_id=317&category=electronics,200,1635,"{""user_id"": ""317"", ""category"": ""electronics""}"
15.189.100.115,24/Jun/2024:18:38:22 +0000,GET,/signup?user_id=176&user_id=364&session_id=mno345,404,847,"{""user_id"": ""364"", ""session_id"": ""mno345""}"
